"|","|__Title","|__Year","|__Rated","|__Released","|__Runtime","|__Genre","|__Director","|__Writer","|__Actors","|__Plot","|__Language","|__Country","|__Awards","|__Poster","|__Ratings__Source","|__Ratings__Value","|__Metascore","|__imdbRating","|__imdbVotes","|__imdbID","|__Type","|__DVD","|__BoxOffice","|__Production","|__Website","|__Response","|__Error","|__totalSeasons"
"313","Pay It Forward","2000","PG-13","20 Oct 2000","123 min","Drama","Mimi Leder","Catherine Ryan Hyde (book), Leslie Dixon (screenplay)","Kevin Spacey, Helen Hunt, Haley Joel Osment, Jay Mohr","A young boy attempts to make the world a better place after his teacher gives him that chance.","English","USA","1 win & 4 nominations.","https://m.media-amazon.com/images/M/MV5BNjI3ODI5NDEwMl5BMl5BanBnXkFtZTYwNDYyMjU3._V1_SX300.jpg","Internet Movie Database","7.2/10","40","7.2","111,751","tt0223897","movie","N/A","N/A","Warner Brothers, Tapestry Films, Bel Air Entertainment","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","39%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","40/100","","","","","","","","","","","",""
"317","Mandela and de Klerk","1997","PG-13","16 Feb 1997","114 min","Drama","Joseph Sargent","Richard Wesley","Sidney Poitier, Michael Caine, Tina Lifford, Gerry Maritz","On June 12, 1964, Nelson Mandela, along with a number of political detainees, was sentenced to life imprisonment in what remains the most sensational treason trial in the history of South ...","English, Afrikaans","USA","Nominated for 1 Golden Globe. Another 10 nominations.","https://m.media-amazon.com/images/M/MV5BMTQ5MTc5MDgxOF5BMl5BanBnXkFtZTcwNDQxMzgzMQ@@._V1_SX300.jpg","Internet Movie Database","7.1/10","N/A","7.1","506","tt0119607","movie","N/A","N/A","Film Afrika","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","68%","","","","","","","","","","","",""
"318","Beyond Suspicion","1994","R","27 Jul 1994","98 min","Crime, Drama, Thriller","Paul Ziller","Simon Abbott","Jack Scalia, Stepfanie Kramer, Howard Dell, Frank Ferrucci","A photo journalist gets a tip from an undercover cop about a major raid, but then finds herself in danger after witnessing the cop's murder from a hiding place. However, her view of the ...","English","Canada","N/A","https://m.media-amazon.com/images/M/MV5BMjA3NDA4NDg5MV5BMl5BanBnXkFtZTcwNjAwMzEzMQ@@._V1_SX300.jpg","Internet Movie Database","5.9/10","N/A","5.9","92","tt0109259","movie","21 Sep 1999","N/A","Libra Pictures","N/A","True","",""
"319","Straight to Hell","1987","R","26 Jun 1987","86 min","Action, Comedy, Western","Alex Cox","Alex Cox, Dick Rude","Dick Rude, Sy Richardson, Courtney Love, Joe Strummer","A gang of bank robbers with a suitcase full of money go to the desert to hide out. After burying the loot, they find their way to a surreal town full of cowboys who drink an awful lot of ...","English","UK","N/A","https://m.media-amazon.com/images/M/MV5BMTFhZDE1ZDAtZTY1Yy00NjYwLWJjNmYtYTdjNWFmMDdhMzY1XkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_SX300.jpg","Internet Movie Database","5.8/10","N/A","5.8","2,227","tt0094048","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","33%","","","","","","","","","","","",""
"320","Eat Your Heart Out","1997","UNRATED","17 Aug 1999","94 min","Comedy, Drama","Felix O. Adlon","Felix O. Adlon, Laura Slakey","Christian Oliver, Pamela Adlon, Laura San Giacomo, John Craig","Daniel, Sam(antha) and Peter are three old friends living together in a Los Angeles loft. Being gifted with a great cooking skill and good looks, Daniel uses his talent to bring home one ...","English","Germany, USA","N/A","https://m.media-amazon.com/images/M/MV5BMTY3NzI1MzkzOV5BMl5BanBnXkFtZTcwMTU4MzUxMQ@@._V1_SX300.jpg","Internet Movie Database","5.7/10","N/A","5.7","282","tt0119042","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","36%","","","","","","","","","","","",""
"321","Ju-Rei: The Uncanny","2004","Not Rated","24 Oct 2004","76 min","Horror","Kôji Shiraishi","Naoyuki Yokota","Chinatsu Wakatsuki, Miku Ueno, Eriko Ichinohe, Ichirô Ogura","Japanese school girls die violently after seeing a man wearing a black hood.","Japanese","Japan","N/A","https://m.media-amazon.com/images/M/MV5BNmI3YWJkNDctZmJmZi00NmU1LTkxYjMtNzdkMmQ4NDQ4M2Q1XkEyXkFqcGdeQXVyMTIxMDUyOTI@._V1_SX300.jpg","Internet Movie Database","5.2/10","N/A","5.2","433","tt0445483","movie","26 Oct 2004","N/A","N/A","N/A","True","",""
"322","Flesh Gordon","1974","R","30 Jul 1974","78 min","Comedy, Sci-Fi","Michael Benveniste, Howard Ziehm","Michael Benveniste (screenplay)","Jason Williams, Suzanne Fields, Joseph Hudgins, William Dennis Hunt","Emperor Wang is leader of the planet Porno and sends his mighty ""Sex Ray"" towards Earth, turning everyone into sex-mad fiends. Only one man can save the Earth, football player Flesh Gordon","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BN2M3MmE2YmItZjkzNy00YzhlLTg3YWYtZmE4MjM2NzllODA5L2ltYWdlXkEyXkFqcGdeQXVyMDM0NzcxMQ@@._V1_SX300.jpg","Internet Movie Database","4.7/10","N/A","4.7","3,831","tt0068595","movie","N/A","N/A","Graffiti Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","67%","","","","","","","","","","","",""
"329","Dogma","1999","R","12 Nov 1999","130 min","Adventure, Comedy, Drama, Fantasy","Kevin Smith","Kevin Smith","Bud Cort, Barret Hackney, Jared Pfennigwerth, Kitao Sakurai","An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.","English","USA","8 nominations.","https://m.media-amazon.com/images/M/MV5BYzAyOWUyZjQtNDBiMy00ZDExLTgwNmMtZDdmY2ViNzkyN2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","7.3/10","62","7.3","206,123","tt0120655","movie","N/A","N/A","View Askew Productions, STK Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","67%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","62/100","","","","","","","","","","","",""
"330","Wild Things","1998","R","20 Mar 1998","108 min","Crime, Drama, Mystery, Thriller","John McNaughton","Stephen Peters","Kevin Bacon, Matt Dillon, Neve Campbell, Theresa Russell","A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.","English","USA","2 wins & 4 nominations.","https://m.media-amazon.com/images/M/MV5BODMyYTlkNWYtODAzMC00ZjFiLWE3YjctMGUyMzM1MDk3ZDFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.5/10","52","6.5","106,580","tt0120890","movie","N/A","N/A","Mandalay Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","62%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","52/100","","","","","","","","","","","",""
"331","Chasing Amy","1997","R","18 Apr 1997","113 min","Comedy, Drama, Romance","Kevin Smith","Kevin Smith","Ethan Suplee, Ben Affleck, Scott Mosier, Jason Lee","Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.","English","USA","Nominated for 1 Golden Globe. Another 5 wins & 15 nominations.","https://m.media-amazon.com/images/M/MV5BZDM3MTg2MGUtZDM0MC00NzMwLWE5NjItOWFjNjA2M2I4YzgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","7.2/10","71","7.2","130,990","tt0118842","movie","N/A","N/A","View Askew Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","87%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","71/100","","","","","","","","","","","",""
"332","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"334","The Pacifier","2005","PG","04 Mar 2005","95 min","Action, Comedy, Drama, Family","Adam Shankman","Thomas Lennon, Robert Ben Garant","Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow","Having recovered from wounds received in a failed rescue operation, Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains in the kids' house.","English, Korean","Canada, USA","1 win & 10 nominations.","https://m.media-amazon.com/images/M/MV5BMTE5MTcxOTQxNl5BMl5BanBnXkFtZTYwMzk3Nzg2._V1_SX300.jpg","Internet Movie Database","5.6/10","30","5.6","86,555","tt0395699","movie","N/A","N/A","Walt Disney Pictures, Spyglass Entertainment","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","21%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","30/100","","","","","","","","","","","",""
"335","Fear No Evil","1981","R","16 Jan 1981","99 min","Horror","Frank LaLoggia","Frank LaLoggia","Stefan Arngrim, Elizabeth Hoffman, Kathleen Rowe McAllen, Frank Birney","High school student turns out to be personification of Lucifer. Two arch angels in human form (as women) take him on.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BZGRjNTI2NTMtMmQ0MS00ZmJjLWEzYzUtNTcxYjY5Yzc4NTFjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","4.5/10","N/A","4.5","1,063","tt0082367","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","56%","","","","","","","","","","","",""
"336","The Driver","1978","R","02 Aug 1978","91 min","Action, Crime, Thriller","Walter Hill","Walter Hill","Ryan O'Neal, Bruce Dern, Isabelle Adjani, Ronee Blakley","A getaway driver becomes the latest assignment for a tenacious detective.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BYWVjMGU5OGUtNmIyNS00ZTJjLWE1ZjktM2YxNDIyMzJlOTdmXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","Internet Movie Database","7.2/10","56","7.2","13,951","tt0077474","movie","N/A","N/A","EMI Films Ltd., 20th Century Fox","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","73%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","56/100","","","","","","","","","","","",""
"337","Star 80","1983","R","03 Feb 1984","103 min","Biography, Drama","Bob Fosse","Teresa Carpenter (article), Bob Fosse","Mariel Hemingway, Eric Roberts, Cliff Robertson, Carroll Baker","A successful young model finds trouble when her obsessive manager-turned-husband becomes dangerously jealous.","English","USA, West Germany","Nominated for 1 Golden Globe. Another 1 win & 2 nominations.","https://m.media-amazon.com/images/M/MV5BYWYzNTM0ZDktNzc3YS00NjA2LTk0OWMtMGM1YWQ1YWJjMzZiL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg","Internet Movie Database","6.7/10","63","6.7","5,691","tt0086355","movie","N/A","N/A","The Ladd Company","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","86%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","63/100","","","","","","","","","","","",""
"341","Tremors 4: The Legend Begins","2004","PG-13","02 Jan 2004","101 min","Action, Adventure, Comedy, Horror, Sci-Fi, Thriller, Western","S.S. Wilson","S.S. Wilson (characters), Brent Maddock (characters), Ron Underwood (characters), S.S. Wilson (story), Brent Maddock (story), Nancy Roberts (story), Scott Buck (teleplay)","Michael Gross, Sara Botsford, Billy Drago, Brent Roam","A prequel to Tremors (1990), this movie tells us about how the town of Perfection, Nevada became founded and how they defended it against the Graboids with the help of Burt Gummer's ancestor, Hiram.","English","USA","7 nominations.","https://m.media-amazon.com/images/M/MV5BNGExYzc5YzYtMTRjNy00ZTJiLWJiNDktZDk0MzllMmVhZWIyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","5.3/10","N/A","5.3","11,554","tt0334541","movie","N/A","N/A","Stampede Entertainment","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","33%","","","","","","","","","","","",""
"342","Noir","2001–","TV-14","06 Apr 2001","25 min","Animation, Action, Crime, Drama, Mystery, Thriller","N/A","N/A","Houko Kuwashima, Kotono Mitsuishi, Shelley Calene-Black, Monica Rial","Two beautiful female assassins travel the world accepting assignments to kill various culprits, and at the same time, having deadly traps set against them by their own employer.","Japanese, English","Japan","N/A","https://m.media-amazon.com/images/M/MV5BMTc1MTI0NTUwM15BMl5BanBnXkFtZTcwMTQwMjIyMQ@@._V1_SX300.jpg","Internet Movie Database","7.2/10","N/A","7.2","1,821","tt0294154","series","","","","","True","","1"
"343","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"344","The Taming of the Shrew","1967","Approved","08 Mar 1967","122 min","Comedy, Drama, Romance","Franco Zeffirelli","William Shakespeare (play), Paul Dehn (screen play by), Suso Cecchi D'Amico (screen play by), Franco Zeffirelli (screen play by)","Elizabeth Taylor, Richard Burton, Cyril Cusack, Michael Hordern","Brutish, fortune-hunting scoundrel Petruchio tames his wealthy, shrewish wife, Katharina.","English","Italy, USA","Nominated for 2 Oscars. Another 7 wins & 5 nominations.","https://m.media-amazon.com/images/M/MV5BYTI5MmMzZjYtZTk5Yi00ZmRjLTkzODUtMWNkY2UwMTE0ZGFiXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","Internet Movie Database","7.1/10","N/A","7.1","7,208","tt0061407","movie","21 Jul 2009","N/A","N/A","N/A","True","",""
"347","The Iceman Cometh","1989","N/A","18 Aug 1989","114 min","Action, Comedy, Romance, Sci-Fi","Clarence Yiu-leung Fok","Johnny Mak, Stephen Shiu","Biao Yuen, Wah Yuen, Maggie Cheung, Lai-Yui Lee","A frozen Ming Dynasty royal guard and the equally frigid rapist-killer he's tracking are thawed out in modern-day Hong Kong.","Cantonese","Hong Kong","3 nominations.","https://m.media-amazon.com/images/M/MV5BMjAwMTM4Mzg5MV5BMl5BanBnXkFtZTcwMTA0MjMyMQ@@._V1_SX300.jpg","Internet Movie Database","6.6/10","N/A","6.6","748","tt0097618","movie","20 Apr 1999","N/A","N/A","N/A","True","",""
"348","The Last Temptation of Christ","1988","R","09 Sep 1988","164 min","Drama","Martin Scorsese","Nikos Kazantzakis (novel), Paul Schrader (screenplay)","Willem Dafoe, Harvey Keitel, Paul Greco, Steve Shill","The life of Jesus Christ, his journey through life as he faces the struggles all humans do, and his final temptation on the cross.","English","Canada, USA","Nominated for 1 Oscar. Another 2 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BMTFkNmY0OTktYmUyNS00MjI3LWE3ZGItNWU1NzkyMDY3NTlmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","Internet Movie Database","7.5/10","80","7.5","51,294","tt0095497","movie","N/A","N/A","Universal Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","81%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","80/100","","","","","","","","","","","",""
"349","The Swarm","1978","PG","14 Jul 1978","116 min","Horror, Thriller","Irwin Allen","Arthur Herzog III (novel), Stirling Silliphant (screenplay)","Michael Caine, Katharine Ross, Richard Widmark, Richard Chamberlain","A huge swarm of deadly African bees spreads terror over American cities by killing thousands of people.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BNDU0NGE1YjktZmIyYi00MjEwLWE0NGYtNjZjYWZiMzViODgxXkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_SX300.jpg","Internet Movie Database","4.5/10","30","4.5","6,457","tt0078350","movie","N/A","N/A","Warner Bros.","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","10%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","30/100","","","","","","","","","","","",""
"350","Dr. Quinn, Medicine Woman","1993–1998","N/A","01 Jan 1993","60 min","Drama, Family, Western","N/A","Beth Sullivan","Jane Seymour, Joe Lando, Shawn Toovey, Chad Allen","The trials and adventures of a female doctor in a small wild west town.","English","USA","Won 1 Golden Globe. Another 18 wins & 44 nominations.","https://m.media-amazon.com/images/M/MV5BZjg3OGRlMDUtMTk2NS00M2FjLTgxOWEtYmQ0M2ZkN2QzZDJkXkEyXkFqcGdeQXVyNDYwMjI1MzI@._V1_SX300.jpg","Internet Movie Database","6.7/10","N/A","6.7","9,705","tt0103405","series","","","","","True","","6"
"351","Guns of the Magnificent Seven","1969","G","01 Aug 1969","105 min","Action, Western","Paul Wendkos","Herman Hoffman","George Kennedy, James Whitmore, Monte Markham, Reni Santoni","A Mexican revolutionary hires an American gunslinger to organize the rescue of their leader from a brutal Army prison.","English, Spanish","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTM0Nzc3NjMwOV5BMl5BanBnXkFtZTcwNjEwMjkzNA@@._V1_SX300.jpg","Internet Movie Database","5.7/10","N/A","5.7","2,344","tt0064395","movie","N/A","N/A","Mirisch Corporation","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","40%","","","","","","","","","","","",""
"352","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"353","Life or Something Like It","2002","PG-13","26 Apr 2002","103 min","Comedy, Romance","Stephen Herek","John Scott Shepherd (story), John Scott Shepherd (screenplay), Dana Stevens (screenplay)","Angelina Jolie, Edward Burns, Tony Shalhoub, Christian Kane","A reporter interviews a psychic, who tells her that she's going to die and her life is meaningless.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BMTI3NjY5NTU3NV5BMl5BanBnXkFtZTYwMTcwNDU3._V1_SX300.jpg","Internet Movie Database","5.8/10","31","5.8","22,939","tt0282687","movie","N/A","N/A","New Regency Pictures, Monarchy Enterprises B.V., Regency Enterprises","N/A","True","",""
